id,original_text,file,line,widget_or_context
"4b356839bc63","پرستو","lib/config/app_config.dart",58,"return dotenv.env['APP_NAME_FA'] ?? 'پرستو';"
"8ff9f9dd0704","حساب غیرفعال","lib/main.dart",248,"'حساب غیرفعال',"
"a8833634e9c7","حساب کاربری شما غیرفعال شده است.

","lib/main.dart",255,"'حساب کاربری شما غیرفعال شده است.\n\n'"
"65a58f728662","برای اطلاعات بیشتر با پشتیبانی تماس بگیرید.","lib/main.dart",256,"'برای اطلاعات بیشتر با پشتیبانی تماس بگیرید.',"
"f239a41831b7","متوجه شدم","lib/main.dart",263,"'متوجه شدم',"
"49209c822c84","تبریک! 🎉","lib/main.dart",289,"'تبریک! 🎉',"
"c7bafff64a80","حساب شما به نقش راوی ارتقا یافت!

","lib/main.dart",296,"'حساب شما به نقش راوی ارتقا یافت!\n\n'"
"0ca85032d729","اکنون می‌توانید کتاب‌های صوتی خود را ثبت و مدیریت کنید. ","lib/main.dart",297,"'اکنون می‌توانید کتاب‌های صوتی خود را ثبت و مدی..."
"7fdfa5e63eb7","برای دسترسی به پنل راوی، از منوی پروفایل گزینه «حالت راوی» را انتخاب کنید.","lib/main.dart",298,"'برای دسترسی به پنل راوی، از منوی پروفایل گزینه..."
"6a792ca56136","متوجه شدم","lib/main.dart",305,"'متوجه شدم',"
"c023a8da5b06","$hours ساعت و $minutes دقیقه","lib/models/models.dart",176,"return '$hours ساعت و $minutes دقیقه';"
"f05a3eaf3e63","$minutes دقیقه","lib/models/models.dart",178,"return '$minutes دقیقه';"
"b73d1b61e07e","رایگان","lib/models/models.dart",182,"if (isFree) return 'رایگان';"
"e3aec00afa67","خطا در پخش صدا. لطفاً دوباره تلاش کنید","lib/providers/audio_provider.dart",351,"errorMessage: 'خطا در پخش صدا. لطفاً دوباره تلا..."
"29a3e564ca7e","هیچ فصلی برای پخش وجود ندارد","lib/providers/audio_provider.dart",596,"errorMessage: 'هیچ فصلی برای پخش وجود ندارد',"
